x, u_gen, u_spec
0.026603, 0.206980, 0.206980
0.026703, 0.207646, 0.207646
0.026803, 0.208311, 0.208311
0.026903, 0.208976, 0.208976
0.027003, 0.209640, 0.209640
0.027103, 0.210303, 0.210303
0.027203, 0.210965, 0.210965
0.027303, 0.211626, 0.211626
0.027403, 0.212287, 0.212287
0.027503, 0.212947, 0.212947
0.027603, 0.213606, 0.213606
0.027703, 0.214265, 0.214265
0.027803, 0.214923, 0.214923
0.027903, 0.215580, 0.215580
0.028003, 0.216236, 0.216236
0.028103, 0.216891, 0.216891
0.028203, 0.217546, 0.217546
0.028303, 0.218200, 0.218200
0.028403, 0.218853, 0.218853
0.028503, 0.219506, 0.219506
0.028603, 0.220157, 0.220157
0.028703, 0.220808, 0.220808
0.028803, 0.221458, 0.221458
0.028903, 0.222108, 0.222108
0.029003, 0.222757, 0.222757
0.029103, 0.223404, 0.223404
0.029203, 0.224052, 0.224052
0.029303, 0.224698, 0.224698
0.029403, 0.225344, 0.225344
0.029503, 0.225989, 0.225989
0.029603, 0.226633, 0.226633
0.029703, 0.227276, 0.227276
0.029803, 0.227919, 0.227919
0.029903, 0.228561, 0.228561
0.030003, 0.229202, 0.229202
0.030103, 0.229843, 0.229843
0.030203, 0.230483, 0.230483
0.030303, 0.231122, 0.231122
0.030403, 0.231760, 0.231760
0.030503, 0.232397, 0.232397
0.030603, 0.233034, 0.233034
0.030703, 0.233670, 0.233670
0.030803, 0.234306, 0.234306
0.030903, 0.234940, 0.234940
0.031003, 0.235574, 0.235574
0.031103, 0.236207, 0.236207
0.031203, 0.236840, 0.236840
0.031303, 0.237471, 0.237471
0.031403, 0.238102, 0.238102
0.031503, 0.238732, 0.238732
0.031603, 0.239362, 0.239362
0.031703, 0.239991, 0.239991
0.031803, 0.240619, 0.240619
0.031903, 0.241246, 0.241246
0.032003, 0.241872, 0.241872
0.032103, 0.242498, 0.242498
0.032203, 0.243123, 0.243123
0.032303, 0.243748, 0.243748
0.032403, 0.244371, 0.244371
0.032503, 0.244994, 0.244994
0.032603, 0.245617, 0.245617
0.032703, 0.246238, 0.246238
0.032803, 0.246859, 0.246859
0.032903, 0.247479, 0.247479
0.033003, 0.248098, 0.248098
0.033103, 0.248717, 0.248717
0.033203, 0.249335, 0.249335
0.033303, 0.249952, 0.249952
0.033403, 0.250568, 0.250568
0.033503, 0.251184, 0.251184
0.033603, 0.251799, 0.251799
0.033703, 0.252413, 0.252413
0.033803, 0.253027, 0.253027
0.033903, 0.253640, 0.253640
0.034003, 0.254252, 0.254252
0.034103, 0.254863, 0.254863
0.034203, 0.255474, 0.255474
0.034303, 0.256084, 0.256084
0.034403, 0.256694, 0.256694
0.034503, 0.257302, 0.257302
0.034603, 0.257910, 0.257910
0.034703, 0.258517, 0.258517
0.034803, 0.259124, 0.259124
0.034903, 0.259730, 0.259730
0.035004, 0.260335, 0.260335
0.035104, 0.260939, 0.260939
0.035204, 0.261543, 0.261543
0.035304, 0.262146, 0.262146
0.035404, 0.262748, 0.262748
0.035504, 0.263349, 0.263349
0.035604, 0.263950, 0.263950
0.035704, 0.264551, 0.264551
0.035804, 0.265150, 0.265150
0.035904, 0.265749, 0.265749
0.036004, 0.266347, 0.266347
0.036104, 0.266944, 0.266944
0.036204, 0.267541, 0.267541
0.036304, 0.268137, 0.268137
0.036404, 0.268732, 0.268732
0.036504, 0.269327, 0.269327
0.036604, 0.269921, 0.269921
0.036704, 0.270514, 0.270514
0.036804, 0.271106, 0.271106
0.036904, 0.271698, 0.271698
0.037004, 0.272289, 0.272289
